BIBTEXKEY;year;location;method;target1;target;term
Hoeksema_2004;2004;Indonesia;community structure;community structure;community structure;anchialine lake
Becking_2015;2015;Indonesia;community structure;jellyfish;jellyfish;jellyfish lake,marine lake
Por_1985;1985;NA;review;ecosystem description;ecosystem description;anchialine pool
Foote_2005;2005;Hawai;community structure;community structure;community structure;anchialine pool
Purba_2018;2018;Indonesia;community structure,geophysical parameters;community structure,ecosystem description;community structure,ecosystem description;jellyfish lake,marine lake
Purba_2020;2020;Indonesia;population ecology;jellyfish;jellyfish;marine lake
Orem_1991;1991;Palau;sediment;nutrients;water chemistry,sediment composition;jellyfish lake,marine lake
Monniot_2009;2009;Indonesia;community structure;ascidians;invertebrates;marine lake
Mlakar_2015;2015;Croatia;geochemical parameters;ecosystem description;ecosystem description;marine lake
Maas_2020;2020;Australia,Indonesia;population genetic;sponges;sponges;marine lake
Bayha_2011;2011;Puerto Rico,Florida Keys;community structure;jellyfish;jellyfish;marine lake
Dawson_2016;2016;NA;review;ecosystem description;ecosystem description;marine lake
Chiaverano_2015;2015;Croatia;species adaptations,population ecology;anemonae,jellyfish;invertebrates,jellyfish;marine lake
Martin_2006;2006;Palau;environmental parameters;environmental modeling;environmental modeling;marine lake
Fautin_1991;1991;Palau;species description;anemonae;invertebrates;marine lake,jellyfish lake
Daniel_2020;2020;Indonesia;community structure;jellyfish,mollusks,sponges;jellyfish,mollusks,sponges;marine lake
Leeuw_2020;2020;Indonesia;population ecology;community structure;community structure;marine lake
Hamner_1982;1982;Palau;community structure;ecosystem description;ecosystem description;salt lakes
Becking_2016;2016;Indonesia;population genetic;mollusks;mollusks;marine lake
Lyons_1996;1996;Palau;sediment;water chemistry;water chemistry;marine lake
Cimino_2018;2018;Palau;population ecology,geophysical parameters;jellyfish;jellyfish;marine lake
CigleneÄ ki_2017;2017;Croatia;biogeochemical parameters,geophysical parameters;water chemistry,plankton;water chemistry,plankton;marine lake
Cleary_2018;2018;Indonesia;community structure;microbial community,sponges;microbial community,sponges;marine lake
Burnett_1989;1989;Palau;geochemical parameters;water chemistry,sediment composition;water chemistry,sediment composition;marine lake
Dawson_2001;2001;Palau;population ecology,environmental parameters;jellyfish;jellyfish;marine lake
PolÃ³nia_2019;2019;Indonesia;microbial composition;sponges,sediment composition,water chemistry;sponges,sediment composition,water chemistry;marine lake
Schuster_2021;2021;Ireland;population ecology;microbial community,sponges;microbial community,sponges;marine lake
Å½ic_2012;2012;Croatia;geochemical parameters;water chemistry;water chemistry;marine lake
Cleary_2018;2018;Indonesia;population ecology;microbial community,mollusks;microbial community,mollusks;anchialine lake
Cerrano_2006;2006;Vietnam;community structure;ecosystem description;ecosystem description;marine lake
Wilson_2019;2019;Palau;biogeochemical parameters;water chemistry;water chemistry;marine lake,jellyfish lake
Ferreira_2020;2020;Indonesia;population ecology;microbial community,sponges;microbial community,sponges;marine lake
